Project,File Name,Design Pattern,URL,Human Summary
AbdurRKhalid,EmailNotificationListener.java,Observer,https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Behavioral/Observer/ConcreteObserver/EmailNotificationListener.java,The EmailNotificationListener is a concerte observer as it receives notifications about events related to file operations. It overrides the update method that sends email notifications.
AbdurRKhalid,LogOpenListener.java,Observer,https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Behavioral/Observer/ConcreteObserver/LogOpenListener.java,The LogOpenListener is a Concrete Observer designed to log events related to file operations as it updates the logger file.
AbdurRKhalid,Editor.java,Observer,https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Behavioral/Observer/ConcretePublisher/Editor.java,The Editor class acts as a Concrete Publisher designed to trigger notifications about file operations like opening and saving files through a notify method.
AbdurRKhalid,EventListener.java,Observer,https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Behavioral/Observer/Observer/EventListener.java,The EventListener interface defines a contract for Observers. It establishes the structure that any concrete observer (such as email or log listeners) must implement to handle event notifications from a Publisher.
AbdurRKhalid,EventManager.java,Observer,https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Behavioral/Observer/Publisher/EventManager.java,"The EventManager class acts as a Publisher, responsible for managing and notifying subscribers about specific events."
AbdurRKhalid,Computer.java,Visitor,https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Behavioral/Visitor/Computer.java,"The Computer class represents a Concrete Element of Visitor, which allows operations to be performed on Mouse, Keyboard and monitor components by an external visitor."
AbdurRKhalid,ComputerPart.java,Visitor,https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Behavioral/Visitor/ComputerPart.java,"The ComputerPart interface defines a Component role in the Visitor and provides a contract for all concrete components like Mouse, Keyboard, Monitor, and Computer to accept a visitor, allowing external operations to be applied to them."
AbdurRKhalid,ComputerPartDisplayVisitor.java,Visitor,https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Behavioral/Visitor/ComputerPartDisplayVisitor.java,"The ComputerPartDisplayVisitor class implements the ComputerPartVisitor interface, serving as a Concrete Visitor. This visitor defines specific actions for displaying each ComputerPart type such as Computer, Mouse, Keyboard, Monitor."
AbdurRKhalid,ComputerPartVisitor.java,Visitor,https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Behavioral/Visitor/ComputerPartVisitor.java,"The ComputerPartVisitor is an interface of Visitor role, specifying a set of operations that can be performed on each type of ComputerPart element that are Computer, Mouse, Keyboard, Monitor."
AbdurRKhalid,Keyboard.java,Visitor,https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Behavioral/Visitor/Keyboard.java,"The Keyboard class is a Concrete Element, implementing the ComputerPart interface to accept a visitor."
AbdurRKhalid,Monitor.java,Visitor,https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Behavioral/Visitor/Monitor.java,The Monitor class is a Concrete Element implementing the ComputerPart interface to allow operations from a visitor.
AbdurRKhalid,Mouse.java,Visitor,https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Behavioral/Visitor/Mouse.java,The Mouse class is a Concrete Element implementing the ComputerPart interface to support visitor operations.
AbdurRKhalid,Test.java,Client (No pattern),https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Behavioral/Visitor/Test.java,The Test class serves as a Client demonstrating the use of the pattern by applying a visitor to a Computer component.
AbdurRKhalid,GUIFactory.java,AbstractFactory,https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Creational/Abstract%20Factory/AbstractFactory/GUIFactory.java,The GUIFactory interface defines an Abstract Factory setting the framework for creating families of related GUI products without specifying concrete classes.
AbdurRKhalid,Application.java,Client (no pattern),https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Creational/Abstract%20Factory/Client/Application.java,"The Application class acts as a Client in the Abstract Factory design pattern, using a GUIFactory to create and manage related GUI components."
AbdurRKhalid,MacOSFactory.java,AbstractFactory,https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Creational/Abstract%20Factory/ConcreteFactory/MacOSFactory.java,"The MacOSFactory class is a Concrete Factory, implementing the GUIFactory interface to create MacOS specific GUI components."
AbdurRKhalid,WindowsOSFactory.java,AbstractFactory,https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Creational/Abstract%20Factory/ConcreteFactory/WindowsOSFactory.java,"The WindowOSFactory class is a Concrete Factory, implementing the GUIFactory interface to create Windows OS specific GUI components."
AbdurRKhalid,Button.java,AbstractFactory,https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Creational/Abstract%20Factory/Products/Button.java,Button is a product interface in Abstract Factory having a paint method
AbdurRKhalid,CheckBox.java,AbstractFactory,https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Creational/Abstract%20Factory/Products/CheckBox.java,Checkbox is a product interface in Abstract Factory having a paint method
AbdurRKhalid,MacOSButton.java,AbstractFactory,https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Creational/Abstract%20Factory/Products/MacOSButton.java,The MacOSButton class is a Concrete Product implementing the Button interface to provide a specific version of a button tailored for the MacOS platform.
AbdurRKhalid,MacOSCheckBox.java,AbstractFactory,https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Creational/Abstract%20Factory/Products/MacOSCheckBox.java,The MacOSCheckBox class is a Concrete Product implementing the Checkbox interface to provide a specific version of a checkbox tailored for the MacOS platform.
AbdurRKhalid,WindowsButton.java,AbstractFactory,https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Creational/Abstract%20Factory/Products/WindowsButton.java,The Windows Button class is a Concrete Product implementing the Button interface to provide a specific version of a button tailored for the Windows platform.
AbdurRKhalid,WindowsCheckBox.java,AbstractFactory,https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Creational/Abstract%20Factory/Products/WindowsCheckBox.java,The WindowsCheckBox class is a Concrete Product implementing the Checkbox interface to provide a specific version of a checkbox tailored for the Windows platform.
AbdurRKhalid,Test.java,Client (no pattern),https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Creational/Abstract%20Factory/Test.java,The Test class serves as a Client demonstrating the creation and usage of a Windows specific application interface
AbdurRKhalid,Test.java,Client (no pattern),https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Creational/Factory%20Method/Client/Test.java,The Test class is a Client demonstrating how to create and utilize a specific dialog that generates buttons.
AbdurRKhalid,HtmlDialog.java,Factory Method,https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Creational/Factory%20Method/ConcreteCreator/HtmlDialog.java,The HtmlDialog class is a Concrete Creator extending the Dialog class to produce HTML specific buttons.
AbdurRKhalid,WindowsDialog.java,Factory Method,https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Creational/Factory%20Method/ConcreteCreator/WindowsDialog.java,The WindowsDialog class is a Concrete Creator extending the Dialog class to produce Windows specific buttons.
AbdurRKhalid,HtmlButton.java,Factory Method,https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Creational/Factory%20Method/ConcreteProduct/HtmlButton.java,"The HtmlButton class is a Concrete Product, implementing the Button interface to provide an HTML specific button functionality."
AbdurRKhalid,WindowsButton.java,Factory Method,https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Creational/Factory%20Method/ConcreteProduct/WindowsButton.java,"The WindowsButton class is a Concrete Product, implementing the Button interface to provide a Windows specific button functionality."
AbdurRKhalid,Dialog.java,Factory Method,https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Creational/Factory%20Method/Factory/Dialog.java,The Dialog class is an Abstract Creator providing a template for creating dialogs that can generate buttons.
AbdurRKhalid,Button.java,Factory Method,https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Creational/Factory%20Method/Product/Button.java,The Button interface defines a Product establishing a contract for button components that can be created by concrete creators.
AbdurRKhalid,TextEditor.java,Memento,https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Behavioral/Memento/CareTaker/TextEditor.java,"This class implements the caretaker for the Memento pattern for a text editor. It uses TextWindow as the originator and TextWindowState as the memento to save and restore text state. hitSave() stores the current state, and hitUndo() restores the previously saved state."
AbdurRKhalid,TextWindowState.java,Memento,https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Behavioral/Memento/Memento/TextWindowState.java,"This class represents the Memento in the pattern. It stores the text state of a TextWindow in an immutable way, providing a getText() method to retrieve the saved content."
AbdurRKhalid,TextWindow.java,Memento,https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Behavioral/Memento/Originator/TextWindow.java,"This class represents Memento pattern enabling saving and restoring text in a TextWindow. TextWindowState stores text snapshots, TextWindow creates and restores these states, and TextEditor acts as caretaker, providing hitSave() and hitUndo() to manage text history."
AbdurRKhalid,Singleton.java,Singleton,https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Creational/Singleton/Singleton/Singleton.java,"This class implements the Singleton pattern, ensuring only one instance exists. getInstance() creates the instance if null and returns it; the constructor is private to prevent direct instantiation. The instance holds a value string."
AbdurRKhalid,Test.java,Client (no pattern),https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Creational/Singleton/Client/Test.java,"The test class is a client. and makes two calls to getInstance() with different values return the same instance, proving only one object exists."
AbdurRKhalid,SquarePeg.java,Adapter,https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Structural/Adapter/Adapte/SquarePeg.java,"SquarePeg is an adaptee that represents a square peg with a given width. It provides methods to retrieve the width and calculate its area (getSquare()), which returns the square of the width using Math.pow()."
AbdurRKhalid,SquarePegAdapter.java,Adapter,https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Structural/Adapter/Adapter/SquarePegAdapter.java,"SquarePegAdapter is an adapter that adapts a SquarePeg to behave like a RoundPeg. It overrides getRadius() to calculate an equivalent radius for the square peg using the formula based on its width, enabling compatibility with round hole logic in the Adapter pattern."
AbdurRKhalid,RoundHole.java,Adapter,https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Structural/Adapter/Target/RoundHole.java,"RoundHole is a target adapter representing a circular hole with a fixed radius. It provides getRadius() and a fits() method to check if a given RoundPeg can fit inside by comparing their radii, forming part of the Adapter pattern for compatibility between round and square pegs."
AbdurRKhalid,RoundPeg.java,Adapter,https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Structural/Adapter/Target/RoundPeg.java,"RoundPeg is a target adapter that represents a circular peg with a radius. It provides constructors for initialization and a getRadius() method to retrieve the radius, serving as the target interface in the Adapter pattern for compatibility with RoundHole."
AbdurRKhalid,Test.java,Client (no pattern),https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Structural/Adapter/Test.java,"This test demonstrates is a client. A RoundHole checks if a RoundPeg fits, then uses SquarePegAdapter to adapt square pegs for compatibility. The output confirms that a small square peg fits while a large one does not, validating the adapter’s role in bridging incompatible interfaces."
AbdurRKhalid,DataSource.java,Decorator,https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Structural/Decorator/Component/DataSource.java,"DataSource is an Decorator interface defining two methods: writeData(String data) for storing data and readData() for retrieving it. It serves as the base component in the Decorator pattern, allowing flexible extension of data handling functionality."
AbdurRKhalid,FileDataSource.java,Decorator,https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Structural/Decorator/ConcreteComponent/FileDataSource.java,"FileDataSource is a concrete component implementation of DataSource that reads and writes data to a file. It uses FileOutputStream for writing and FileReader for reading, handling I/O exceptions gracefully. This class acts as the core component in the Decorator pattern for file-based storage."
AbdurRKhalid,CompressionDecorator.java,Decorator,https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Structural/Decorator/ConcreteDecorator/CompressionDecorator.java,CompressionDecorator is a concrete decorator that extends DataSourceDecorator to add transparent compression. It Base64-encodes compressed data when writing (using Deflater with configurable level) and decodes/decompresses when reading (using Inflater). This decorates any DataSource with compress/decompress behavior without changing the underlying component.
AbdurRKhalid,EncryptionDecorator.java,Decorator,https://github.com/SamSike/DPS-Corpus/blob/main/AbdurRKhalid/Structural/Decorator/ConcreteDecorator/EncryptionDecorator.java,"EncryptionDecorator is a concrete decorator that adds simple encoding/decoding to any DataSource. On write, it shifts each byte by +1 and Base64-encodes; on read, it Base64-decodes and shifts bytes back by −1. It transparently layers encryption behavior without modifying the wrapped component."
